Loyalty#,Gender,Income,Customer Lifetime Value,EnrollmentType,rejoined_program,Days_in_prog,Cancelled_program,Enrollment_year,Enrollment_month,Location_cluster,TotalFlights,TotalDistance,TotalPointsAccumulated,TotalPointsRedeemed,RecencyInMonths,Pct_Spend_Month_1,Pct_Spend_Month_2,Pct_Spend_Month_3,Pct_Spend_Month_4,Pct_Spend_Month_5,Pct_Spend_Month_6,Pct_Spend_Month_7,Pct_Spend_Month_8,Pct_Spend_Month_9,Pct_Spend_Month_10,Pct_Spend_Month_11,Pct_Spend_Month_12,Flights_per_day,Avg_spent_per_flight,Loyalty_Aurora,Loyalty_Nova,Loyalty_Star,Education_Bachelor,Education_College,Education_Doctor,Education_High School or Below,Education_Master,Marital_Divorced,Marital_Married,Marital_Single
100011,0,34148.0,5780.18,0,0,0.0,0,2017,5,1,0.0,0.0,0.0,0.0,999.0,0.0389952000453762,0.0400093395844636,0.0546780522379607,0.0489663289902179,0.0588835656116173,0.0750399232176823,0.0796924853680975,0.0732380877058602,0.0616469223867926,0.0594355192309143,0.0579599989545794,0.0796954677231966,0.1488584474885844,147.9205511634845,0,0,1,1,0,0,0,0,0,1,0
100012,1,34148.0,5780.18,0,0,0.0,0,2019,2,4,0.0,0.0,0.0,0.0,999.0,0.0389952000453762,0.0400093395844636,0.0546780522379607,0.0489663289902179,0.0588835656116173,0.0750399232176823,0.0796924853680975,0.0732380877058602,0.0616469223867926,0.0594355192309143,0.0579599989545794,0.0796954677231966,0.1488584474885844,147.9205511634845,0,0,1,1,0,0,0,0,0,0,1
100013,0,34148.0,5780.18,0,0,0.0,0,2017,9,5,0.0,0.0,0.0,0.0,999.0,0.0389952000453762,0.0400093395844636,0.0546780522379607,0.0489663289902179,0.0588835656116173,0.0750399232176823,0.0796924853680975,0.0732380877058602,0.0616469223867926,0.0594355192309143,0.0579599989545794,0.0796954677231966,0.1488584474885844,147.9205511634845,0,0,1,1,0,0,0,0,0,1,0
100014,1,34148.0,5780.18,0,0,0.0,0,2020,11,3,0.0,0.0,0.0,0.0,999.0,0.0389952000453762,0.0400093395844636,0.0546780522379607,0.0489663289902179,0.0588835656116173,0.0750399232176823,0.0796924853680975,0.0732380877058602,0.0616469223867926,0.0594355192309143,0.0579599989545794,0.0796954677231966,0.1488584474885844,147.9205511634845,0,0,1,1,0,0,0,0,0,1,0
100015,0,34148.0,5780.18,0,0,0.0,0,2020,4,4,0.0,0.0,0.0,0.0,999.0,0.0389952000453762,0.0400093395844636,0.0546780522379607,0.0489663289902179,0.0588835656116173,0.0750399232176823,0.0796924853680975,0.0732380877058602,0.0616469223867926,0.0594355192309143,0.0579599989545794,0.0796954677231966,0.1488584474885844,147.9205511634845,0,0,1,0,1,0,0,0,0,1,0
100016,0,34148.0,5780.18,0,0,0.0,0,2020,7,5,0.0,0.0,0.0,0.0,999.0,0.0389952000453762,0.0400093395844636,0.0546780522379607,0.0489663289902179,0.0588835656116173,0.0750399232176823,0.0796924853680975,0.0732380877058602,0.0616469223867926,0.0594355192309143,0.0579599989545794,0.0796954677231966,0.1488584474885844,147.9205511634845,0,0,1,0,0,0,0,1,0,0,1
100017,1,34148.0,5780.18,0,0,0.0,0,2017,4,5,0.0,0.0,0.0,0.0,999.0,0.0389952000453762,0.0400093395844636,0.0546780522379607,0.0489663289902179,0.0588835656116173,0.0750399232176823,0.0796924853680975,0.0732380877058602,0.0616469223867926,0.0594355192309143,0.0579599989545794,0.0796954677231966,0.1488584474885844,147.9205511634845,0,0,1,0,0,0,0,1,0,1,0
100018,0,82877.0,7919.2,0,0,874.0,0,2019,8,5,229.9,530230.0,53014.3,20562.8,1.0183968462549278,0.0484208977577747,0.0608581080953629,0.0742920306407893,0.0619808240418151,0.0,0.1326892932661565,0.1379463654146145,0.1083185102887334,0.0734892283780036,0.0653970721107323,0.124303442656038,0.1123042273499791,0.2099543378995433,43.15638179170529,1,0,0,1,0,0,0,0,0,1,0
100102,1,0.0,2887.74,0,0,2122.0,0,2016,3,1,247.7,339114.6,33903.96,18760.6,1.0183968462549278,0.0608840383247266,0.0286397223215223,0.0334028827311028,0.0496346149535334,0.0468086913741049,0.0804035870736043,0.1142049483305195,0.0146345736604219,0.1795914105608902,0.1521828128631581,0.0578717058420314,0.1817410119643841,0.2262100456621004,147.9205511634845,0,1,0,0,1,0,0,0,0,0,1
100140,0,0.0,2838.07,0,0,884.0,0,2019,7,5,216.8,432030.8,43192.58,4896.0,2.0039421813403417,0.0434426468620304,0.0,0.1729079392803115,0.0125975341134981,0.1645268701244519,0.0652968634890529,0.1643418846477798,0.0080604122282114,0.0793728922884439,0.0090987850227978,0.1351463607869684,0.1452078111564532,0.1979908675799087,16.215325810639328,0,1,0,0,1,0,0,0,1,0,0
