Loyalty#,Gender,Income,Customer Lifetime Value,EnrollmentType,rejoined_program,Days_in_prog,Cancelled_program,Enrollment_year,Enrollment_month,Location_cluster,TotalFlights,TotalDistance,TotalPointsAccumulated,TotalPointsRedeemed,RecencyInMonths,Pct_Spend_Month_1,Pct_Spend_Month_2,Pct_Spend_Month_3,Pct_Spend_Month_4,Pct_Spend_Month_5,Pct_Spend_Month_6,Pct_Spend_Month_7,Pct_Spend_Month_8,Pct_Spend_Month_9,Pct_Spend_Month_10,Pct_Spend_Month_11,Pct_Spend_Month_12,Total_Spend_Month_1,Total_Spend_Month_2,Total_Spend_Month_3,Total_Spend_Month_4,Total_Spend_Month_5,Total_Spend_Month_6,Total_Spend_Month_7,Total_Spend_Month_8,Total_Spend_Month_9,Total_Spend_Month_10,Total_Spend_Month_11,Total_Spend_Month_12,TotalFlightsWithCompanions,TotalFlightSpend,PctFlightsWithCompanions,PctPointsSpent,Avg_Flights_per_day,Avg_spent_per_flight,Loyalty_Aurora,Loyalty_Nova,Loyalty_Star,Education_Bachelor,Education_College,Education_Doctor,Education_High School or Below,Education_Master,Marital_Divorced,Marital_Married,Marital_Single,st_scaled_km_cluster2,st_scaled_ward_cluster2,mm_scaled_km_cluster3,mm_scaled_ward_cluster2,rb_scaled_km_cluster3,rb_scaled_ward_cluster2
100380,0,51641.0,2465.62,0,0,2254.0,0,2015,10,4,169.1,367306.4,36723.94,17829.6,1.0183968462549278,0.0011164379421162,0.0296133802636645,0.1719608516951067,0.1415632418525899,0.1685086077365337,0.1796054562772948,0.0,0.0899002122321297,0.062166532240277,0.0610081597998471,0.0568433016718794,0.0377138182885605,0.0,0.0,85.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3,0.0,64.0,174.8,0.3784742755765819,0.4855034617745263,0.2122905027932961,59.00756097560976,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,2,0
100550,0,30374.0,7861.8,0,0,2145.0,0,2016,2,4,215.3,407410.7,40732.97,12189.5,3.0223390275952693,0.1002436110109329,0.0457558091148276,0.1416309687214067,0.1494045241483741,0.1090283865870816,0.0262931968869444,0.1318347274947051,0.0805050552414911,0.0543049033743427,0.1609988174198935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,64.6,0.0,0.0,50.0,121.6,0.2322340919647004,0.2992538967818943,0.2122905027932961,59.00756097560976,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0
100644,0,17622.0,4458.11,0,0,1256.0,0,2018,7,5,155.0,276930.0,27687.5,25301.4,1.0183968462549278,0.031313769751693,0.1400758465011286,0.0930560722347629,0.0155665914221218,0.1212926410835214,0.0567707449209932,0.0,0.1512018058690744,0.1230483069977426,0.0193950338600451,0.0823115124153498,0.1659676749435665,0.0,0.0,85.5,0.0,51.3,0.0,0.0,59.0,0.0,0.0,0.0,53.0,49.0,248.8,0.3161290322580645,0.913820316027088,0.2122905027932961,59.00756097560976,0,0,1,0,0,0,0,1,1,0,0,0,0,2,0,2,0
100646,0,95697.0,2471.53,0,0,1175.0,0,2018,10,6,161.9,279582.8,27950.98,4583.0,2.0039421813403417,0.1795160670573983,0.0730564724385334,0.0,0.0884444838785616,0.2018505254556369,0.1315159611577125,0.058781481007106,0.0759293591852593,0.0451504741515324,0.0147518977867681,0.0925191173976726,0.0384841604838184,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,35.0,45.0,0.2161828289067325,0.1639656283965714,0.2122905027932961,59.00756097560976,0,0,1,1,0,0,0,0,0,1,0,0,0,2,1,1,0
100816,0,18577.0,6273.91,0,0,2129.0,0,2016,3,4,145.7,373504.6,37343.56,0.0,1.0183968462549278,0.1422700460266777,0.0918878650026939,0.198628357874825,0.063250531015254,0.0,0.0,0.0441039900855729,0.0566362714213642,0.0933371108699867,0.0,0.1620686404831248,0.1478171872205007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.1715854495538778,0.0,0.2122905027932961,59.00756097560976,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,0
100853,1,0.0,10153.89,0,0,1071.0,0,2019,1,1,211.8,333124.6,33304.96,9061.1,2.0039421813403417,0.0263699460981187,0.013254181959684,0.2067779093564442,0.0817592935106362,0.1381932300774419,0.0055364125944003,0.0,0.0409548607774938,0.0863853311939122,0.1710093631699302,0.1202697736313149,0.1094896976306231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.3,0.0,0.0,0.0,50.0,89.3,0.2360717658168083,0.2720645813716635,0.1977591036414566,47.94093484419263,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0,2,0
100890,0,0.0,8007.4,0,0,1612.0,0,2017,8,1,138.8,252419.8,25234.48,15448.8,1.0183968462549278,0.1657165116935241,0.035119011764855,0.0344413675257029,0.0494957692807618,0.3122640133658391,0.0066575574372842,0.1137332728869388,0.0351106898180584,0.1570731792372975,0.0040024601259863,0.00823912361182,0.0781470432519314,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,47.5,40.0,42.0,152.5,0.3025936599423631,0.6122099603399792,0.2122905027932961,59.00756097560976,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,2,0
101148,0,12964.0,4770.55,0,0,2251.0,0,2015,11,2,181.6,295913.1,29586.21,8168.8,1.0183968462549278,0.0,0.0191602777104603,0.0209415129548529,0.2290938920530882,0.1469857071926414,0.1138368178959048,0.0,0.0,0.1219612109830897,0.1159709202361505,0.0763869383743304,0.1556627225994813,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,30.0,81.0,0.1651982378854625,0.2761016027399251,0.2122905027932961,59.00756097560976,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,2,0
101363,0,37449.0,12898.59,0,0,986.0,0,2019,4,3,153.0,283628.2,28356.32,19783.3,1.0183968462549278,0.1513087734938807,0.13631176400887,0.0087105802163327,0.2317042549950064,0.056883262708278,0.0617851681741495,0.0276121866307052,0.0,0.1243306606781133,0.0974862041336816,0.0742441191240612,0.029623025836921,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,101.2,0.0,47.5,0.0,35.0,193.7,0.2287581699346405,0.6976681036185232,0.1551724137931034,84.30450980392158,0,0,1,1,0,0,0,0,0,1,0,0,0,2,0,2,0
101544,0,33651.0,24249.34,0,0,1726.0,0,2017,4,4,184.4,342996.1,34293.409999999996,14158.0,1.0183968462549278,0.0563886764250041,0.1063390896385048,0.0115182479665918,0.0989644949277426,0.1469874241144289,0.0605947323407033,0.071675578485779,0.0436235416658769,0.1113782502235852,0.2143808387675649,0.0215784898614631,0.0565706355827548,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,37.0,0.0,62.0,43.0,139.0,0.2331887201735357,0.4128489992683726,0.2122905027932961,59.00756097560976,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,2,0
101581,1,76357.0,4595.46,0,0,2266.0,0,2015,10,1,175.0,329315.1,32924.11,13061.4,2.0039421813403417,0.0981375047039996,0.0,0.2435039246315238,0.162726949946407,0.0435243352060237,0.0229679708882032,0.0621693342659831,0.1002010380842488,0.0167962019322618,0.0844639384329599,0.1655088019083887,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,83.6,0.0,23.0,128.6,0.1314285714285714,0.3967123181158123,0.2122905027932961,59.00756097560976,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0
101594,1,25237.0,5205.75,0,0,1220.0,0,2018,8,1,207.0,421588.8,42150.78,13099.0,1.0183968462549278,0.1683451646683643,0.0,0.0704478066598055,0.1159266803603634,0.0434630153937839,0.0456219315514446,0.0488240075272628,0.1421995037814246,0.1011663366609111,0.0977464711210563,0.0739393197468706,0.0923197625287123,0.0,0.0,55.1,28.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,50.0,129.1,0.2415458937198067,0.3107653049362313,0.2122905027932961,59.00756097560976,0,0,1,0,0,1,0,0,1,0,0,0,0,2,0,2,0
101709,0,47593.0,8396.61,0,0,1088.0,1,2018,9,3,201.6,430904.6,43082.66,6912.2,5.026281208935611,0.0612267209127755,0.1095654260902182,0.0,0.1460439072239272,0.1164357075445202,0.1613844177680765,0.1157238202098013,0.143027612501178,0.0285439664124731,0.0413816138557832,0.0562794869211882,0.0203873205600582,0.0,0.0,0.0,68.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,68.4,0.248015873015873,0.1604404184885519,0.2122905027932961,59.00756097560976,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0
102207,1,74487.0,6960.92,0,0,2408.0,0,2015,5,4,130.2,290242.0,29020.8,0.0,4.0078843626806835,0.0,0.1378321755430587,0.1362591658396736,0.0787631629727643,0.1412862498621678,0.0286690925129562,0.0,0.2015299371485279,0.0980331348550005,0.0,0.0,0.1776270812658507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.1612903225806451,0.0,0.2122905027932961,59.00756097560976,0,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0
